Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
11017,-82.875,-444.1875,255.8125,3.353516,-3.438477,-0.09765625,0.03466797,0.1074219,0.1850586
11019,-237.6875,-733.625,473.125,3.213379,-2.486816,0.5722656,0.03369141,0.1098633,0.1894531
11021,-330.9375,-852.875,548.8125,2.645508,-1.999023,1.293457,0.03222656,0.1162109,0.1967773
11023,-404.0625,-859.8125,553.875,2.10498,-1.589355,1.553223,0.03369141,0.128418,0.2192383
11024,-509.5,-837.625,504.875,1.71582,-1.207031,1.620117,0.03710938,0.1342773,0.2324219
11026,-612.4375,-817.625,428.5,1.618652,-1.109863,1.66748,0.04052734,0.140625,0.2485352
11027,-660.3125,-789.875,367.6875,1.544922,-0.9926758,1.655762,0.04882813,0.1542969,0.2827148
11029,-641.25,-721.9375,292.3125,1.416504,-0.918457,1.817383,0.05371094,0.1591797,0.3032227
11030,-601.8125,-637,206.875,1.008301,-0.4233398,1.785645,0.05957031,0.1601563,0.3212891
11032,-545.25,-523.25,108.8125,0.6308594,0.009277344,1.742676,0.06884766,0.1616211,0.3520508
11033,-479.5625,-417.75,-6.75,0.3120117,0.2470703,1.37207,0.07226563,0.1601563,0.3666992
11035,-399.25,-337.1875,-112.875,0.008789063,0.4345703,1.013184,0.07373047,0.1577148,0.3803711
11036,-317.6875,-290.0625,-182.875,-0.08056641,0.3759766,0.7456055,0.06884766,0.1567383,0.3994141
11038,-244.625,-263.25,-213.0625,-0.1660156,0.3212891,0.5761719,0.06542969,0.1552734,0.4067383
11039,-181.75,-239.8125,-210.5,-0.2670898,0.2705078,0.5009766,0.06054688,0.152832,0.4140625
11041,-127.3125,-206.25,-185.8125,-0.3994141,0.2587891,0.6035156,0.0546875,0.1503906,0.4213867
11042,-71.75,-149.3125,-144.875,-0.546875,0.3095703,0.7255859,0.05224609,0.1494141,0.4257813
11044,-12.3125,-82.9375,-94.8125,-0.6831055,0.4658203,0.7333984,0.04785156,0.1479492,0.4272461
11045,54.5,-7.25,-52.8125,-0.737793,0.6918945,0.7333984,0.04638672,0.1469727,0.4272461
11047,142.375,82,-38.6875,-0.7607422,0.953125,0.8085938,0.04296875,0.1479492,0.4257813
11048,247.25,185.75,-62.9375,-0.8037109,1.237793,0.9306641,0.04052734,0.1503906,0.4213867
11050,349.25,290.6875,-109.625,-0.6479492,1.140625,1.033203,0.03710938,0.1542969,0.4067383
11051,438,384.8125,-139.1875,-0.6015625,-0.2045898,0.8520508,0.03222656,0.1567383,0.3935547
11053,488.3125,473.125,-160.9375,-0.496582,0.6489258,1.135742,0.02783203,0.1577148,0.3803711
11054,530.75,534.1875,-172,-0.2944336,0.4345703,1.072754,0.015625,0.1567383,0.3461914
11056,560.625,588.875,-163.3125,-0.1386719,0.08349609,1.166992,0.01123047,0.1577148,0.3330078
11057,577.3125,635.25,-134.875,0.03173828,-0.2202148,1.226074,0.008789063,0.152832,0.3134766
11059,592.9375,680.125,-102.0625,0.234375,-0.5009766,1.375977,0.006347656,0.1469727,0.2753906
11060,609.5625,727.3125,-76.0625,0.3896484,-0.7939453,1.675293,0.01123047,0.140625,0.2558594
11062,633.1875,782.875,-75.6875,0.6933594,-1.043457,2.108887,0.01708984,0.1333008,0.2368164
11063,643.3125,846.3125,-120.8125,1.16748,-1.160645,2.515137,0.03222656,0.1147461,0.199707
11065,622.4375,899.5,-227.3125,1.883301,-1.094238,2.786621,0.04052734,0.1040039,0.1879883
11066,525.25,912.375,-382.75,2.699707,-1.222656,3.185059,0.05224609,0.09033203,0.171875
11068,423.5625,822.375,-455.3125,3.500977,-1.414063,2.337402,0.07128906,0.06835938,0.152832
11071,218.6875,600.6875,-404.125,3.905762,-1.577637,1.533691,0.08056641,0.06347656,0.1450195
11073,40.625,203.5625,-224.4375,3.621582,-2.166504,0.5327148,0.08544922,0.06005859,0.1420898
11074,-58,-222.4375,78.25,3.508789,-2.213379,0.3632813,0.08398438,0.05761719,0.1435547
11076,-138.4375,-557.8125,321.375,3.524414,-1.683105,0.8481445,0.08203125,0.05761719,0.1450195
11077,-217.375,-771.5625,421.5,3.221191,-1.129395,1.435059,0.07617188,0.0625,0.1450195
11079,-304.8125,-860.8125,429.75,2.828125,-0.8291016,1.939453,0.05810547,0.07324219,0.152832
11080,-391.375,-865.8125,391,2.447266,-0.7236328,2.081543,0.04980469,0.078125,0.1630859
11082,-461.9375,-836.5625,325,2.097168,-0.6298828,1.98291,0.04052734,0.08544922,0.1704102
11083,-533.75,-798.9375,257.25,1.836426,-0.5634766,1.836914,0.02636719,0.1064453,0.1953125
11085,-550.5625,-756.375,186.25,1.416504,-0.5517578,1.573242,0.01953125,0.1137695,0.2119141
11086,-554.375,-718.25,115.625,1.202637,-0.4038086,1.446777,0.01367188,0.1235352,0.2280273
11088,-546.625,-671.8125,38.0625,1.039063,-0.2944336,1.33252,0.00390625,0.1333008,0.2617188
11089,-526.625,-619,-14.9375,0.8056641,-0.2163086,1.25,0,0.1420898,0.2797852
11091,-509,-569.0625,-59.1875,0.5688477,-0.1928711,1.19873,-0.004882813,0.1420898,0.2973633
11092,-486.0625,-519.5625,-79.6875,0.3623047,-0.1308594,1.115723,-0.01074219,0.1445313,0.3330078
11094,-464.25,-473.9375,-81.625,0.2382813,0.02880859,0.9936523,-0.01318359,0.1455078,0.3476563
11095,-439.0625,-438.25,-75.1875,0.09423828,0.1845703,0.8754883,-0.015625,0.1430664,0.3652344
11097,-406.875,-405.3125,-58.875,-0.04541016,0.3369141,0.8046875,-0.01757813,0.140625,0.3935547
11098,-369.9375,-369.5625,-38.0625,-0.1191406,0.4970703,0.8046875,-0.01416016,0.1381836,0.4038086
11100,-327.25,-322.3125,-18.375,-0.1386719,0.6254883,0.8007813,-0.015625,0.1333008,0.4169922
11101,-276.0625,-274.8125,-1.5,-0.2084961,0.8129883,0.7495117,-0.01074219,0.1293945,0.4365234
11103,-218.3125,-233.4375,16.4375,-0.2631836,0.9375,0.7216797,-0.007324219,0.1259766,0.4438477
11104,-150.0625,-188,37.5625,-0.4418945,0.984375,0.7177734,-0.004882813,0.1245117,0.4511719
11106,-80.625,-132.3125,80.5,-0.6987305,-0.3725586,0.6625977,0.001953125,0.1235352,0.4570313
11107,20.25,-55.75,92.625,-0.5351563,1.109375,0.8520508,0.006347656,0.1210938,0.4599609
11109,143.1875,32.4375,107.25,-0.6210938,1.300293,0.8125,0.009765625,0.1220703,0.4584961
11110,277.125,136,117.1875,-0.5239258,1.152344,0.8911133,0.01220703,0.1269531,0.449707
11112,423.3125,252.25,132.4375,-0.4072266,0.8671875,0.8203125,0.01220703,0.1318359,0.440918
11113,566.3125,370.25,141.9375,-0.2475586,0.4501953,0.8398438,0.01367188,0.1357422,0.4287109
11115,700.8125,489.875,143.1875,-0.06494141,-0.2006836,0.9702148,0.015625,0.1469727,0.3935547
11116,817.125,607.6875,139.1875,0.15625,-0.8911133,1.174805,0.01708984,0.1479492,0.3710938
11118,917.8125,721.25,125.375,0.5493164,-1.710449,1.42334,0.01806641,0.1494141,0.3461914
11120,1014.125,824.25,77.9375,0.9536133,-2.155273,1.912109,0.02880859,0.1445313,0.2944336
11122,1067.375,946.6875,-43.375,1.89502,-3.446289,2.64502,0.03369141,0.1342773,0.2666016
11123,1094.313,1059.875,-234.6875,2.91748,-2.443848,3.46875,0.04052734,0.1245117,0.2338867
11125,985.625,1105,-439.4375,4.310059,-2.603516,3.638184,0.05810547,0.09277344,0.1865234
11126,793.875,1054.563,-573.8125,5.379395,-2.603516,3.121582,0.06787109,0.07714844,0.1674805
11128,583.625,879.375,-550.375,5.582031,-2.931152,2.286133,0.07958984,0.06347656,0.1572266
11129,392.375,593.625,-457.125,5.220215,-2.841309,1.312988,0.09619141,0.04052734,0.140625
11131,193.1875,223.75,-325.875,4.399414,-2.845215,0.1860352,0.1005859,0.03320313,0.1376953
11132,-9.4375,-206,-112,3.263672,-2.935059,-0.3891602,0.09960938,0.02929688,0.1391602
11134,-208.75,-556.75,107.75,2.606445,-2.591797,0.05175781,0.08886719,0.03320313,0.1376953
11135,-388.5625,-748.9375,232.5,2.237305,-2.15918,0.7495117,0.07714844,0.03808594,0.1420898
11137,-519.125,-811.625,271.6875,1.844238,-1.772949,1.214355,0.06542969,0.04785156,0.1450195
11138,-603.75,-801.9375,250.6875,1.580078,-1.429688,1.431152,0.04296875,0.06835938,0.1674805
11140,-651.625,-760.4375,196,1.361816,-1.195313,1.533691,0.03369141,0.08056641,0.1806641
11141,-669.875,-696.5625,134.6875,1.179199,-1.031738,1.541504,0.02392578,0.09277344,0.1953125
11143,-672.625,-610.5625,77.75,0.9887695,-0.8598633,1.553223,0.01220703,0.1147461,0.2324219
11144,-657.1875,-513.875,14.1875,0.7788086,-0.6416016,1.470703,0.005371094,0.1210938,0.25
11146,-625.3125,-423.1875,-56.0625,0.5297852,-0.4311523,1.261719,0,0.128418,0.2680664
